Baxazole-D    (Baxter )
Cefsel Ds    (Hansel)
Cefspan    (Barrett)
Cefstar    (Barrett)
Cefsul    (Leads)
Cefsure    (Medisure)
Ceftacin    (Lcpw)
Ceftas    (Platinum)
Ceftax    (Albro)
Ceftaz    (Pharmedic)
Ceftera    (Medera)
Cefti    (Caylex)
Ceftifixe    (Synchro)
Ceftim    (Drugs)
Ceftimox    (Cirin)
Ceftisav    (Medisave)
Ceftison    (Qureshi)
Ceftisyn    (Synchro)
Ceftiz    (Shaigan)
Cefto    (Reko)
Ceftop    (Saydon)
Ceftoringe    (Ccl)
Ceftrex    (Polyfine)
Ceftridex    (Rex)
Ceftrisun    (Hisun)
Ceftriwan    (Swan)
Ceftrix    (Nawan Labs)
Ceftrol    (Mass)
Ceftron    (Amstar)
Cefucef    (Pharmedic)
Cefulite    (Elite)
Cefurox    (Medicaids)
Cefusave    (Medisave)
Cefuzin    (Pdh)
Cefwell    (Saydon)
Cefwise    (Pharmawise)
Cefxone    (Bosch)
Cefyan    (Roryan Pharma)
Cefyl-Esf    (Epla)
Cefyl-P    (Epla)
Cefzar    (Saydon)
Cefzil    (Gsk)
Cefzimed    (Medicaids)
Cefzo    (R.Y)
Cehrin    (Shazal)
Cekalexin    (Shafaz)
Cekamox    (Genesis)
Celador    (Candid)
Celance    (Lilly)
Celart    (Hilton)
Celbexx    (Getz)
Celbexx Plus    (Getz)
Celconid    (Caraway)
Cele    (Tg)
Celecomed    (Mediate)
Celecoxx    (Semos)
Celerim    (Dr.Raza)
Celesta    (Ferozson)
Celestin    (Pharma Health)
Celetab    (Indus)
Celewin    (Wnsfeild)
Celexa    (Aries)
Celexin    (Gray'S)
Celicob    (Mass)
Celimo    (Kpl)
Celimo-C    (Kpl)
Celine    (Surge)
Cell-Aid    (Werrick)
Cell-Aid Depot     (Werrick)
Cellcept    (Roche)
Celmatic    (Aptcure)
Celmax       (Max)
Celocef    (Alson)
Celoflex       (Ambrosia)
Celoftal    (Novartis)
Celoxib    (Schazoo)
Celoxime    (Mega Pharma)
Celsef    (English)
Celstar    (Pharmatec)
Celtex    (Panacea)
Celtic    (Genome)
Celtis    (Shaigan)
Celzib       (Well)
Cemetawin    (Jinnah)
Cemetax    (Crest)
Cemid    (Vega)
Cemofloxin    (Pliva)
Cenadrin    (Akson)
Cenamide    (Harmann)
Cene    (Vega)
Cenex    (Dr.Raza)
Cenocal    (Flow)
Cenovate-N    (Mediceena)
Centauru S    (Ferozson)
Centrum    (Pfizer)
Ceoxil    (Polyfine)
Cepadin    (Ppp)
Cepalex    (Lcpw)
Cepaxin    (Epoch)
Cepci    (Tagma)
Cepel-X    (Jawa)
Ceph-1    (Dr.Raza)
Cephagen-1    (Zafa)
Cephagray    (Gray'S)
Cephalex    (Pliva)
Cephalin    (Sharex)
Cephaxin    (Imco)
Cephcare    (Csh)
Cephcef    (Lowitt)
Cephgen-1    (Zafa)
Cephinol    (Standpharm)
Cephracid    (Universal)
Cephradin    (Aries)
Cephradin    (Haji)
Cephradine    (Kpl)
Cephradine Bp    (Kpl)
Cephrascot    (Scotmann)
Cephride    (Munawar)
Cephril    (Wilsons)
Cephronate    (Pdh)
Cephyr    (Breeze)
Cepiam    (Ardin)
Cepime    (Shaigan)
Ceplatin    (Pharmedic)
Ceplo    (Cirin)
Cepoadvan    (Advanced)
Cepol    (Ocean)
Ceporex    (Gsk)
Ceporex Paed    (Gsk)
Cepox    (Mbl)
Cepoxil    (Lexicon)
Ceprazone    (Bosch)
Ceproz    (Zanctok)
Cepsafe    (Hygeia)
Ceptin    (Cirin)
Cepzolin    (Global)
Cera    (Ardin)
Ceradin    (Shaigan)
Cercolin    (Schazoo)
Cerebolin    (Akhai)
Cerebrin    (Sharex)
Cerebrolysin    (Bio Pharma)
Ceredol    (Elko)
Cerefast    (Ethel)
Ceregin    (Platinum)
Cerelium    (Helix)
Ceremin    (Schazoo)
Ceridal    (Axis)
Cerigex    (Fedro)
Cerigex-L    (Fedro)
Ceril    (Vision)
Cerixon    (Genesis)
Cerizine    (Pharmevo)
Ceron Alpha    (Biocare)
Cerophene    (Hilton)
Cerox    (S.J.& G)
Ceroxil    (Global)
Certican    (Novartis)
Certine    (Opal)
Cervarix    (Gsk)
Cesal    (Goodman L)
Cesave    (Medisave)
Cesef    (Z-Jans)
Cesod    (Amson)
Cestonil    (Raazee)
Cestonil Plus    (Raazee)
Cet    (Wilshire)
Cet-Zin    (Derma Tech)
Ceta-Medrol    (Mediceena)
Cetabex    (Genome)
Cetaclor    (Highnoon)
Cetadine    (Genome)
Cetahist    (Pharmacare)
Cetalix    (Ideal)
Cetam    (Occidental)
Cetapol    (Lotus)
Cetapred    (Vega)
Cetasaf    (Saaaf)
Cetaxima    (Continental)
Cetazid    (Wilshire)
Cetazid Forte    (Wilshire)
Cetirizine    (Pulse)
Cetlergy    (Evergreen)
Cetopress    (Valor)
Cetorid    (Hoover)
Cetoval    (Valor)
Cetranen    (Nenza)
Cetrawin    (Winilton)
Cetrazit    (Atlantic)
Cetriaim    (Aims)
Cetrihit    (Unipharma)
Cetrimak    (Makson)
Cetrimate    (Mediate)
Cetrimide    (Lahore Pharma)
Cetrin    (Paramount)
Cetrix    (Don Valley)
Cetriza    (Sayyad)
Cetrotide    (Merck)
Cetsun    (Hisun)
Cetzi    (Jawa)
Ceuticsaxime    (Un International)
Cevit    (Davis)
Cevocip    (Medicaids)
Cewel    (Harmann)
Cexime    (Akson)
Cexzone    (Medisave)
Cezaf    (S.J.& G)
Cezar    (Ambrosia)
Cezen    (English)
Cezine    (Pdh)
Cezix    (Pearl)
Cezomax       (Max)
Cft    (Macter)
Chantix    (Pfizer)
Charmfil    (Wilshire)
Charpant    (Zephyr)
Chase    (Shrooq)
Chayral    (Zephyr)
Cheer    (Wilshire)
Cheer Up    (Wilshire)
Chef    (Al-Habib)
Cheliron    (Specific)
Chem One    (Mass)
Chemizol    (Ccl)
Chemortan    (Regent)
Chemslim    (Ideal)
Chemzee    (Ideal)
Chemzide    (Ideal)
Cherdox    (Cherwel)
Chergab    (Cherwel)
Cherofex    (Cherwel)
Cherose    (Cherwel)
Chestinol    (Trigon)
Chestycof    (Davis)
Chew-C    (Wilshire)
Chew-Vit    (Rite)
Chewartes    (Gray'S)
Chewcal    (Gsk)
Chewfam    (Atco)
Chewfer    (Europak)
Chewron    (Medisure)
Chikymol    (Ameer Pharma)
Chilcol    (Alliance)
Chilminic    (Alliance)
Chilpol    (Alliance)
Chilpol Cf    (Alliance)
Chilpol Extra    (Alliance)
Chilpol Total Suspention    (Alliance)
Chixicol    (Libra)
Chixone    (Weather)
Chlobrium    (Unexo)
Chlofamin    (Alfalah Pharma)
Chlor    (Friends)
Chloral Hydrate    (Specific)
Chloramphenical    (Shifa)
Chloramphenicol    (Pharmawise)
Chloramphenicol    (Bosch)
Chloramphenicol    (Ethical)
Chloramphenicol    (Irza)
Chloramphenicol    (Lcpw)
Chloramphenicol    (Krka-Pak)
Chloramphenicol    (Swiss Pharma)
Chloramphenicol    (Dosaco)
Chloramphenicol    (Geofman)
Chloramphenicol    (Lisko)
Chloramphenicol    (Elko)
Chloramphenicol    (Amros)
Chloramphenicol    (Polyfine)
Chloramphenicol    (Ocean)
Chloramphenicol    (Unison)
Chloramphenicol    (Jawa)
Chlorax    (Elite)
Chlorbenz    (Platinum)
Chlordex    (Mbl)
Chlordiazepoxide    (Star)
Chlorilex    (Lexicon)
Chlormaleate    (Unit Tiech)
Chlormax    (Atco)
Chlormic    (Pdh)
Chloro Solution    (Medisearch)
Chloro-4    (Medipak)
Chloro-C Solution    (Medisearch)
Chlorofen    (Ferozson)
Chlorogen    (Genera)
Chlorohist    (Lcpw)
Chloromax    (Pharmedic)
Chloromed    (Medicraft)
Chloromycetin    (Pfizer)
Chloromycetin Forte    (Pfizer)
Chloromycetin Hc    (Pfizer)
Chloromycetin Palmitate    (Pfizer)
Chlorophenicol    (Pliva)
Chloropheniramine Maleate    (Irza)
Chloroptic    (Barrett)
Chloroquine    (Lcpw)
Chloroquine    (Harmann)
Chloroquine    (Pharmacare)
Chloroquine    (Unexo)
Chloroquine    (Pliva)
Chloroquine    (Irza)
Chloroquine    (Elko)
Chloroquine    (Orient)
Chloroquine    (Dosaco)
Chloroquine    (Lisko)
Chloroquine    (Swiss Pharma)
Chloroquine    (Rakaposhi)
Chloroquine Phosphate    (Jawa)
Chloroquine Phosphate    (Pdh)
Chloroquine Phosphate    (Shifa)
Chloroquine Phosphate    (Ardin)
Chloroquine Phosphate    (Geofman)
Chloroquine Phosphate    (Pharmawise)
Chloroquine Phosphate    (Helix)
Chloroquine Phosphate    (Ethical)
Chloroquine Phosphate    (Munawar)
Chloroquine Phosphate    (Venus)
Chloroquine Phosphate    (Ideal)
Chloroquine Phosphate    (Irza)
Chloroquine Phosphate    (Albro)
Chlorotil    (Unexo)
Chloroxylenol    (Lahore Pharma)
Chlorpheniramine    (Xenon)
Chlorpheniramine    (Ideal)
Chlorpheniramine    (Kpl)
Chlorpheniramine    (Mian)
Chlorpheniramine    (Munawar)
Chlorpheniramine    (Orta)
Chlorpheniramine    (Pharmacare)
Chlorpheniramine    (Unexo)
Chlorpheniramine    (Wilshire)
Chlorpheniramine    (Geofman)
Chlorpheniramine    (Pliva)
Chlorpheniramine    (Semos)
Chlorpheniramine    (Lisko)
Chlorpheniramine    (Orient)
Chlorpheniramine    (Eros)
Chlorpheniramine Maleate    (Jawa)
Chlorpheniramine Maleate    (Ardin)
Chlorpheniramine Maleate    (Ethical)
Chlorpheniramine Maleate    (Shifa)
Chlorpromazine    (Star)
Chlorpropamide    (Geofman)
Chlortab    (Wilshire)
Choice Dm    (Ibl)
Choix    (Webrose)
Cholein    (Jawa)
Cholera    (Sms)
Cholera Vaccine    (Sms)
Cholescor    (Atco)
Cholestor    (Pdh)
Chooz    (Weather)
Chrocef    (Synchro)
Chroncef    (English)
Chymocin    (Medicaids)
Chymomed    (Mbl)
Chymoral    (Agp)
Chymoral Forte    (Agp)
Chymotrip Forte    (Sami)
Cialox    (Global)
Cibcos    (Cibex)
Cibler    (Ppp)
Ciblexin    (Cibex)
Cibra    (Cibex)
Cibrain    (Winbrain)
Cicactive T    (Pharma Health)
Cicadril    (Geofman)
Cicatrin    (Gsk)
Ciclo-Scot    (Scotmann)
Ciclofosfamida Dosa    (Ghani Brothers )
Ciclomin    (Shaigan)
Ciclotal    (Scharper)
Cicloxal    (Gray'S)
Cid    (Zesion)
Cidic    (Zephyr)
Cidic-H      (Unimark)
Cidifen    (Libra)
Cidine    (Highnoon)
Cidol    (Akson)
Cidol Forte    (Akson)
Cidomycin    (Aventis)
Cidpro    (Indus)
Cikin    (Polyfine)
Cilapen    (Bosch)
Cilapenem    (Matrix)
Cilaquine    (Harmann)
Cilen    (Gaba)
Cilicef    (Ipram)
Cilicef Forte    (Ipram)
Cilipenem    (Ipram)
Cilix    (Derma Tech)
Cilliclox    (English)
Cilopram    (Akson)
Cilosta    (Amarant)
Ciloxan    (Novartis)
Ciloxil    (Medicaids)
Ciman       (Caraway)
Cimepha    (E Pharm)
Cimescot    (Scotmann)
Cimet    (Ferozson)
Cimetai    (Alson)
Cimetamat    (Indus)
Cimetidine    (Nawabsons Labs)
Cimetogen    (Genera)
Cimikan    (Trigon)
Cimirax    (Umersons)
Cimonil    (Lcpw)
Cimozol    (Kpl)
Cimser    (Panacea)
Cin    (Saydon)
Cinarium    (Navegal)
Cinax    (Aptcure)
Cinchocaine    (Lcpw)
Cinchocaine    (Zafa)
Cinclar    (Envoy)
Cindex    (Ethical)
Cinflox    (Nabiqasim)
Cingol    (Askari)
Cinil    (Krka-Pak)
Cinita    (Getz)
Cinmox    (Nexus)
Cinocid    (Gray'S)
Cinoflox    (S.J.& G)
Cinokort    (Polyfine)
Cinotec    (Caraway)
Cinoweb    (Webrose)
Cinox    (Schazoo)
Cinperi    (Goodman L)
Cinpride    (Kaizen)
Cinquin    (Pacific)
Cinride    (Genix)
Cinrol    (Reko)
Cinspar    (Envoy)
Cinvolox    (Everest)
Cinzit    (Shrooq)
Ciof    (Remington)
Cip    (Obsons)
Cip Suspension    (Convell)
Cip-Era    (Medera)
Cip-Rx    (Rasco)
Cipacin    (Pharmacare)
Cipam    (Valor)
Cipamox    (Epla)
Cipamox Forte    (Epla)
Cipcap    (Wise)
Cipcare    (Gene-Tech Labs)
Cipcin    (Obsons)
Cipdel    (Delta)
Cipesta    (Getz)
Cipesta Xr    (Getz)
Cipex    (Kci)
Cipfas    (Genome)
Cipfaz    (Genome)
Cipfen    (Friends)
Cipflox       (Biolabs)
Ciplet    (Indus)
Ciplinz    (Bosch)
Ciplox    (Pharmedic)
Cipnolone    (Well)
Cipocaine    (Barrett)
Cipocin    (Miracle)
Cipol    (Hoffman)
Cipol-N    (Hoffman)
Ciporains    (Mac & Rans)
Ciport    (Orta)
Ciposim    (Sims)
Cipotent    (Kaizen)
Cipotic    (Barrett)
Cipotic-D    (Barrett)
Cipoxin    (Nenza)
Cipracy    (Legacy)
Ciprad    (Universal)
Cipralex    (Lundbeck)
Cipram    (Lundbeck)
Cipramil    (Genetics)
Ciprays    (Prays)
Ciprel    (Candid)
Ciprex    (Syntex)
Ciprexis    (Eg)
Ciprin    (Werrick)
Cipro    (Indus)
Ciprobact    (Mediceena)
Ciprobay    (Biorex)
Ciprocam    (Mendoza)
Ciprocam Ear Drop    (Mendoza)
Ciprocide    (Epla)
Ciprocil    (Mediceena)
Ciprocin    (Royal Consumer)
Ciprocure    (Hygeia)
Ciproday    (Davis)
Ciprodex    (Ethical)
Ciprofast    (Medifine)
Ciprofaz    (Fozan)
Ciprofena    (Medipak)
Ciprofine    (Polyfine)
Ciprofloxacin    (Batala)
Ciprofold    (Weather)
Ciprofoz    (Fozan)
Ciprogat    (Miracle)
Ciprogen    (Genera)
Ciprogil    (Gillman)
Ciprogood    (Goodman L)
Ciprogray    (Gray'S)
Ciproheim    (Pakheim)
Ciprojan    (Novamed)
Ciproject    (Crest)
Ciprok    (Swiss Pharma)
Ciproking    (Medicraft)
Ciprol    (Zaka)
Ciprolex    (Caylex)
Ciproley    (Medley)
Ciprolive    (Olive Labs)
Ciprolon    (Mascon)
Ciprolox    (Fozan)
Cipromac    (Reko)
Cipromed    (Medicraft)
Cipromen    (Ccl)
Cipromine    (English)
Cipron    (Winilton)
Cipron      (Advanced)
Cipronag    (English)
Cipronet    (Regent)
Ciproquine    (Macter)
Ciprosafe Infusion    (Ahad)
Ciprosafe Tablet    (Ocean)
Ciproscot    (Scotmann)
Ciproscot Xr    (Scotmann)
Ciprose    (Trison)
Ciprosol I.V    (Marion)
Ciprotek    (Wellborne)
Ciprotel    (Humayun)
Ciprowan    (Swan)
Ciprowin    (Wnsfeild)
Ciprown       (Crown)
Ciprowrd    (Welwrd)
Ciprox    (Amson)
Ciproxin    (Bayer)
Ciproxsel    (Selmore)
Ciproyan    (Roryan Pharma)
Ciprozan    (Medisave)
Ciprozat    (Hizat)
Ciprozee    (Aventis)
Ciprozip    (Medisynth )
Ciprulz    (Focus & Rulz)
Cipsa    (Bloom)
Cipser    (Panacea)
Cipset    (Breeze)
Cipsif    (Silver)
Ciptop    (Wise)
Cipval    (Gsk)
Cipvax    (Genome)
Cipwari    (Lawari)
Cipwel    (Cherwel)
Cipxre    (Hansel)
Cipzin    (Leama)
Cipzor    (Leama)
Ciquin    (Paramount)
Circonyl    (Rotex)
Circulan    (Century)
Cirer    (Nawan Labs)
Cirinzapine    (Cirin)
Cironex    (Accurate)
Ciscap    (Bloom)
Cisec    (Standpharm)
Cisplan    (Ghazali)
Cisplantino Gador    (Seignior)
Cisplasol    (Pfizer)
Cisplatin    (Atco)
Cisplatin    (Bio Pharma)
Cisplatin    (Highnoon)
Cisplatinum    (S.Ejazuddin)
Cistalgan    (Pacific)
Cistazine    (Pharmedic)
Cistus    (Zephyr)
Citacip    (Goodman L)
Citacol    (Zanctok)
Citadine    (Mediceena)
Citaladvan    (Advanced)
Citalem    (Hamaz)
Citalex      (Advanced)
Citalo    (Platinum)
Citalocit    (Qintar)
Citalomed       (Medley)
Citalorex    (Biorex)
Citalorex-E    (Biorex)
Citamat    (Kci)
Citanew    (Hilton)
Citarid    (Pharmacare)
Citatrio    (Biolabs)
Citgen    (Genome)
Cithrox    (Akson)
Citi-Vo    (Qintar)
Citicolin-H    (Pharm)
Citilene    (Akson)
Citivid    (City)
Citocal    (Don Valley)
Citograin    (Accurate)
Citolin    (Global)
Citopram Syrup    (Vision)
Citopram Tablet    (Global)
Citowel    (Wellborne)
Citpharm    (E Pharm)
Citprim    (Alliance)
Citrafast    (Schazoo)
Citragic    (Ppp)
Citral    (Ideal)
Citralcare    (Care Pharma)
Citralin    (Pearl)
Citralka    (Pfizer)
Citramacl    (Mac & Rans)
Citresal    (Universal)
Citrfast    (Zaka)
Citricare    (Care Pharma)
Citrisaf    (Saaaf)
Citriwel    (Welmark)
Citriza    (Sayyad)
Citro Soda    (Abbott)
Citroftalmina    (Neo)
Citrogesic    (Standpharm)
Citrol    (Semos)
Citrolyte    (Regent)
Citrovel    (Well)
Citrovit-C    (Don Valley)
Citzar    (Roryan Pharma)
Citzin    (Novamed)
Civra    (Gaba)
Cixim    (City)
Cixin    (Goodman)
Cizidim    (Shrooq)
Cizlin    (Shrooq)
Cla    (Dr.Raza)
Clacef    (Medimark)
Clacin    (Werrick)
Clafax    (Hi-Warble)
Claforan    (Aventis)
Claftax    (Dr.Raza)
Clagen    (Epoch)
Clamentin    (Don Valley)
Clamentin Bd    (Don Valley)
Clamocid    (Rock)
Clamont    (Himont Pharma)
Clamoxin    (Ideal)
Clantone    (Unison)
Clap Plus    (Panacea)
Clara    (Saydon)
Clarabac    (Global)
Claracef    (Rakaposhi)
Claracin    (Zephyr)
Claract    (Kaizen)
Claramed    (Novartis)
Clarasia    (Medera)
Claraze    (Sante)
Clariadvan    (Advanced)
Claribest    (Pearl)
Claribin    (Winbrain)
Claricam    (Zesion)
Claricin    (Zephyr)
Clariderm    (Gsk)
Clariderm Plus    (Gsk)
Claridine    (Batala)
Clarifass    (Fassgen)
Clarifed    (Fedro)
Clarifen    (Pharmacare)
Clarifold    (Spl)
Clarigen    (Genera)
Clarilide    (Hygeia)
Clarimycin    (Mendoza)
Clarin    (Novamed)
Clarinac    (Ocean)
Clarinase Repetabs    (Ici)
Clarinen    (Nenza)
Clarinom    (Genome)
Clarion    (Ferozson)
Clarion Xr    (Ferozson)
Clariquen Suspension    (British)
Clariquin Ds    (Seatle)
Clarirex    (Rex)
Clariscot    (Scotmann)
Clariset    (Mediate)
Clarish    (Shaheen)
Clarista    (Star)
Claritek    (Getz)
Claritek Xl    (Getz)
Clarith    (Biorex)
Clarithro    (Nabiqasim)
Clarithro Xl    (Nabiqasim)
Clarithro-Sr    (Nabiqasim)
Claritus    (Lotus)
Clarivel       (Well)
Clariweb    (Webrose)
Clariwel    (Welwrd)
Clariwin    (Wnsfeild)
Clariwitt    (Lowitt)
Clarix    (Ccl)
Clariza    (Searle)
Clariza Bd    (Searle)
Clariza Od Xl    (Searle)
Clariza Xl    (Searle)
Clarmark    (Welmark)
Clarocin    (Medisure)
Clarolid    (Focus & Rulz)
Clarolive       (Olive Labs)
Claromin    (Caraway)
Claromy    (Neutro)
Clarx    (Raazee)
Claryan    (Roryan Pharma)
Clastin    (Valor)
Clatz    (Glitz)
Claud    (Wnsfeild)
Clav    (Amros)
Clavix    (Ferroza)
Clavopin    (Global)
Clavorin    (Vision 2000)
Clavox    (Macter)
Clavumox    (Polyfine)
Clazan    (Fozan)
Clazin    (Novins)
Clealer    (Evergreen)
Cleanazol    (Caraway)
Clear Cream    (Saffron)
Clear Tablet    (Goodman L)
Clearin Bar    (Gsk)
Clefer    (Roche)
Cleiro       (Biogen)
Clemarate    (Geofman)
Clenderm    (Lcpw)
Clenigen Oto    (Lcpw)
Clenil    (Chiesi)
Clenil Aerosol    (Chiesi)
Clenil Compositum Inhaler    (Chiesi)
Clenil Compositum-A    (Chiesi)
Clenil Forte Jet    (Chiesi)
Clenil Pulvinal    (Chiesi)
Cleocin    (Mediceena)
Cleret    (Tabros)
Clexane    (Aventis)
Cliff    (Fynk)
Clifrid    (Medera)
Clik    (Medicraft)
Climacin-V    (Neutro)
Climanor    (Resouce)
Climax-V    (Max)
Climed-V    (Medera)
Climen    (Bayer)
Climox    (Marvi)
Clinacin    (Seatle)
Clinagel    (Gsk)
Clinda      (Valor)
Clinda Derm     (Valor)
Clinda Plus    (Valor)
Clinda T    (Valor)
Clinda V    (Highnoon)
Clindacin Capsule    (Csh)
Clindacin Gel    (Sante)
Clindamax    (Pearl)
Clindamycin    (Spencer)
Clindate       (Nimrall)
Clindatos-B    (Friends)
Clindex    (Caraway)
Clinex    (Global)
Cling    (Gray'S)
Clingard    (Nephar)
Clinica    (Platinum)
Clinorette    (Resouce)
Clinovate    (Wisdom)
Clintol    (Mass)
Clinxer    (Unimark)
Clinzen    (Nexus)
Clioquinol    (Zafa)
Clioquinol Hydrocortisone    (Zafa)
Clipin    (Medizan Lab)
Clipper    (Chiesi)
Clithor    (Siza)
Cliver    (Shaigan)
Clo-Tasium    (Gray'S)
Clobam    (Akbar)
Clobecin    (Aims)
Clobederm    (Atco)
Clobederm Emollient    (Atco)
Clobederm-Nn    (Atco)
Clobederm-S    (Atco)
Clobeson    (Warafana)
Clobet Nn    (Zephyr)
Clobeta    (Saffron)
Clobeta Solution    (Platinum)
Clobetol    (Valor)
Clobeton    (Valor)
Clobetrex    (Dermagen)
Clobetrex-S    (Dermagen)
Clobevate    (Gsk)
Clobi-Derm    (Werrick)
Clobicare    (Seatle)
Clobis    (Genome)
Clocil Forte    (Munawar)
Clocit    (Cirin)
Clocrys    (Polyfine)
Clodium    (Pearl)
Clodium-K    (Pearl)
Clodogril    (Davis)
Clodril Plus    (Macter)
Clofenac    (Medera)
Clofer    (Lcpw)
Clofnac    (Ceicil)
Clogen    (Genera)
Clogpid    (S.J.& G)
Clogrel    (Pharmatec)
Clokleen    (Hygeia)
Clolip    (Pearl)
Clomazol    (Pharmawise)
Clomedon    (Saydon)
Clomfranil    (Novartis)
Clomiam    (Aims)
Clomicil    (Lowitt)
Clomid    (Pacific)
Clomigen    (Syntex)
Clomimed    (British)
Clomin    (Glitz)
Clominol    (Pharmedic)
Clomipril    (Libra)
Clomisone    (Rogen)
Clomitab    (Nabiqasim)
Clomixet    (Fynk)
Clomocite    (Reko)
Clomvit-F    (Alina)
Clonap    (Venture)
Clonatril    (Polyfine)
Clonazil    (English)
Clonepo    (Helix)
Clonexa    (Atco)
Clonil Skin    (Mediceena)
Clonil Vag    (Mediceena)
Clop    (Delux)
Clopan    (Siza)
Clopecit    (Medizan Lab)
Clopeg    (Askari)
Clopenia    (Ipram)
Clopid    (Ferozson)
Clopid Asp    (Ferozson)
Clopidine    (Hoffman)
Clopido    (Platinum)
Clopido Plus    (Platinum)
Clopido Plus    (Werrick)
Clopidro    (Pearl)
Clopigen    (Cherwel)
Clopil-Enzyme    (Wilsons)
Clopirine    (Global)
Clopivax    (Ethical)
Clopiwin    (Wnsfeild)
Clopixol    (Lundbeck)
Cloplad    (Alliance)
Cloplate    (Gray'S)
Clopra Syrup    (Neo)
Clopra Tablet    (Medera)
Cloprel    (Hamaz)
Cloquin    (Woodward)
Cloramidina    (Ppp)
Cloramidina Complex    (Ppp)
Cloramidina H    (Ppp)
Cloran-S    (Hizat)
Clorazide    (Trigon)
Clorcham    (Alkemy)
Cloree    (Flow)
Cloril    (Bloom)
Clorizat    (Zinta)
Clorizole    (Unipharma)
Clormocin Oral Suspension    (Munawar)
Clorotir    (Novartis)
Closerin    (Century)
Closfin    (Everest)
Closip    (Shrooq)
Clostecin    (Pdh)
Clostil-Begyt    (Medimpex)
Clotad    (Evergreen)
Cloteen    (Focus & Rulz)
Cloteen V    (Highnoon)
Clotide    (Surge)
Clotinab    (Mission)
Clotinil    (Novamed)
Clotles    (Himont)
Clotles-Ss    (Himont)
Clotnil    (Barrett)
Clotri    (Zeb)
Clotricon    (Lexicon)
Clotrim    (Zafa)
Clotrima    (Siza)
Clotrimazole    (Kci)
Clotrimazole    (Safina)
Clov    (Wise)
Clovag    (Dr.Raza)
Clovir    (Glitz)
Clovirex    (Brookes)
Clovirex Topical    (Brookes)
Cloxacillin    (Haji)
Cloxalite    (Elite)
Cloxapen    (Epla)
Cloxazan    (Zafa)
Cloxcin    (Unexo)
Cloxidil    (Bryon)
Cloxin    (Wilsons)
Clozaril    (Novartis)
Cloze    (Mendoza)
Clozim-1    (Stanley)
Clozim-6    (Stanley)
Clozip    (Medisynth )
Clozol    (Dr.Raza)
Clozole    (Pearl)
Clozole-H    (Pearl)
Clozox    (Shaigan)
Clozox H    (Shaigan)
Clozrel    (Fassgen)
Cloztec    (Panacea)
Clpronet    (Regent)
Clubex    (Welmark)
Clyaim V    (Aims)
Clycin-T    (Shaigan)
Clycin-V    (Shaigan)
Clyclomed    (Nimrall)
Clyvis    (Medicineco)
Cmile    (Mcolson)
Cniz    (Genix)
Co Amotac    (Mass)
Co Ferol    (Hassan)
Co Losartan    (Tagma)
Co Mether    (Helix)
Co Misomal    (Tabros)
Co Telmas    (Global)
Co Telsan    (Hilton)
Co Valtec    (Tabros)
Co-A2A    (Wilsons)
Co-Aceartin    (Epla)
Co-Amoxi    (Macter)
Co-Aprovel    (Aventis)
Co-Arbinen    (Nenza)
Co-Arbista    (Sante)
Co-Arbista Forte    (Sante)
Co-Art    (Envoy)
Co-Artentin Dd    (Hoover)
Co-Artesinate    (Gray'S)
Co-Atorap    (Hilton)
Co-Baritec    (Barrett)
Co-Cardiotec    (Wilsons)
Co-Cardiovasc    (Werrick)
Co-Depricap    (Nabiqasim)
Co-Desart    (Merck)
Co-Diovan    (Novartis)
Co-Dorzal    (Sante)
Co-Eas    (Pearl)
Co-Estrogen    (Zafa)
Co-Extor    (Searle)
Co-Eziday    (Werrick)
Co-Ezitab    (Werrick)
Co-Fenac    (Mendoza)
Co-Flux    (Wilshire)
Co-Kiren    (Tabros)
Co-Lispril    (Werrick)
Co-Maledox    (Agp)
Co-Maledox Qs    (Agp)
Co-Misomal    (Tabros)
Co-Misomal Qs    (Tabros)
Co-Novatec    (Obs)
Co-Olesta    (Searle)
Co-Osar    (Lowitt)
Co-Plavix    (Aventis)
Co-Pulse    (Werrick)
Co-Renitec    (Obs)
Co-Sartan    (Werrick)
Co-Sept    (Ferroza)
Co-Sterol    (Cirin)
Co-Tasmi    (Getz)
Co-Telisartan    (Zaka)
Co-Toin    (Ipram)
Co-Trimax    (Ideal)
Co-Tritace    (Aventis)
Co-Trupril    (Getz)
Co-Valid    (Scilife)
Co-Valseta    (Maple)
Co-Valstar    (Ccl)
Co-Zeal    (Werrick)
Coagurin    (Atco)
Coartin    (Csh)
Coatesinate Super    (Gray'S)
Cobact    (English)
Cobamin    (Friends)
Cobix    (Eg Pharma)
Cobolmin    (Macter)
Cobsal    (Drug Pharma)
Cobvit    (Bryon)
Cocard    (Helix)
Cocetamol    (Dr.Raza)
Cochemzide    (Ideal)
Cocil    (Ethical)
Cocois    (Mass)
Codacet    (Mendoza)
Codamin-P    (Popular)
Codamine    (Ipp)
Codar    (Polyfine)
Codeine Plus    (Fynk)
Codent    (Neutro)
Codli  Ad    (Zafa)
Codogesic    (Wilsons)
Codohyst    (Pharmawise)
Codor Z    (Elite)
Coenz    (Zam)
Cofban-E    (Genera)
Cofban-P    (Genera)
Cofcare    (Tg)
Cofcina-D    (Mediceena)
Cofcol    (Abbott)
Cofcold Dm    (Life Pharma)
Cofex    (Wilsons)
Cofllin    (Biolabs)
Coflox    (Imco)
Cofradin    (Ardin)
Cofrest    (Woodward)
